tileid,parenttile_id,resourceinstance_id,imageafter2015,imageafter2015caption,imageafter2015description,sortorder,provisionaledits,nodegroup_id
37175d66-10a6-4daf-9122-1ad3775737ae,None,00fd72ab-5246-418e-b001-825a2f227a57,/files/uploadedfiles/LAL4318_P_20210821_05.jpg,"<p>Pakāḥ Phalcā, view from S; photo by Yogesh Budathoki; 2021-08-21</p>
",,0,,2a27a576-9323-11e9-84e4-0242ac120006
fc66fd5a-9ee1-48a9-a50d-736d705f4bd2,None,00fd72ab-5246-418e-b001-825a2f227a57,/files/uploadedfiles/LAL4318_P_20210821_03.jpg,"<p>Pakāḥ Phalcā, view from SE; photo by Yogesh Budathoki; 2021-08-21</p>
",,0,,2a27a576-9323-11e9-84e4-0242ac120006
8295e97a-d2d0-4429-a34b-f625be5363a8,None,00fd72ab-5246-418e-b001-825a2f227a57,/files/uploadedfiles/LAL4318_P_20210821_06.jpg,"<p>Pakāḥ Phalcā, view from NE; photo by Yogesh Budathoki; 2021-08-21</p>
",,0,,2a27a576-9323-11e9-84e4-0242ac120006
91b0dd84-14a2-459a-9f26-f86077499fa3,None,00fd72ab-5246-418e-b001-825a2f227a57,/files/uploadedfiles/LAL4318_P_20210821_04.jpg,"<p>Pakāḥ Phalcā, close view from SE; photo by Yogesh Budathoki; 2021-08-21</p>
",,0,,2a27a576-9323-11e9-84e4-0242ac120006
d1f89f40-201d-4f94-90f7-cd204e653532,None,00fd72ab-5246-418e-b001-825a2f227a57,/files/uploadedfiles/LAL4318_P_20210821_02.jpg,"<p>Pakāḥ Phalcā, colse view from E; photo by Yogesh Budathoki; 2021-08-21</p>
",,0,,2a27a576-9323-11e9-84e4-0242ac120006
e0aec76f-638b-44f6-85a2-c437f7e9fb85,None,01610bbc-5297-47cf-9164-9fa4f72a15a8,/files/uploadedfiles/KIR0013_P_20210802_09.jpg,"<p>Mātakhyaḥ Śikharakūṭa Caitya, with <em>caitya </em>and Dharmadhātu Maṇḍala, view from NE; photo by Yogesh Budathoki; 2021-08-02</p>
",,0,,2a27a576-9323-11e9-84e4-0242ac120006
488e4c67-0b15-425b-8551-1483f2ced038,None,01610bbc-5297-47cf-9164-9fa4f72a15a8,/files/uploadedfiles/KIR0013_P_20210802_08.jpg,"<p>Mātakhyaḥ Śikharakūṭa Caitya, with Tulasī Devala, view from NW; photo by Yogesh Budathoki; 2021-08-02</p>
",,0,,2a27a576-9323-11e9-84e4-0242ac120006
48141f46-b29d-4da7-9e1f-77d3205e252c,None,01610bbc-5297-47cf-9164-9fa4f72a15a8,/files/uploadedfiles/KIR0013_P_20210802_06.jpg,"<p>Mātakhyaḥ Śikharakūṭa Caitya, view from W; photo by Yogesh Budathoki; 2021-08-02</p>
",,0,,2a27a576-9323-11e9-84e4-0242ac120006
0128ab0c-2af8-4a0f-b367-635e84f3a9fe,None,01610bbc-5297-47cf-9164-9fa4f72a15a8,/files/uploadedfiles/KIR0013_P_20210802_07.jpg,"<p>Mātakhyaḥ Śikharakūṭa Caitya, view from NW; photo by Yogesh Budathoki; 2021-08-02</p>
",,0,,2a27a576-9323-11e9-84e4-0242ac120006
fd81ebe4-c1aa-46a5-99c7-922ae179e1de,None,01610bbc-5297-47cf-9164-9fa4f72a15a8,/files/uploadedfiles/KIR0013_P_20210802_04.jpg,"<p>Mātakhyaḥ Śikharakūṭa Caitya, view from S; photo by Yogesh Budathoki; 2021-08-02</p>
",,0,,2a27a576-9323-11e9-84e4-0242ac120006
ee85a800-8271-4ffe-a630-245c26fee2ef,None,01610bbc-5297-47cf-9164-9fa4f72a15a8,/files/uploadedfiles/KIR0013_P_20210802_03.jpg,"<p>Mātakhyaḥ Śikharakūṭa Caitya, view from SE; photo by Yogesh Budathoki; 2021-08-02</p>
",,0,,2a27a576-9323-11e9-84e4-0242ac120006
ebae197d-69a3-4112-82fa-84e46aa371a7,None,01610bbc-5297-47cf-9164-9fa4f72a15a8,/files/uploadedfiles/KIR0013_P_20210802_05.jpg,"<p>Mātakhyaḥ Śikharakūṭa Caitya, view from SW; photo by Yogesh Budathoki; 2021-08-02</p>
",,0,,2a27a576-9323-11e9-84e4-0242ac120006
61bdba14-296e-4990-a8d1-721ac11d668c,None,01610bbc-5297-47cf-9164-9fa4f72a15a8,/files/uploadedfiles/KIR0013_P_20210802_02.jpg,"<p>Mātakhyaḥ Śikharakūṭa Caitya, detail view from E; photo by Yogesh Budathoki; 2021-08-02</p>
",,0,,2a27a576-9323-11e9-84e4-0242ac120006
9ebb0a20-268b-486e-a613-9649a72c5f20,None,01610bbc-5297-47cf-9164-9fa4f72a15a8,/files/uploadedfiles/KIR0013_P_20210802_10.jpg,"<p>Mātakhyaḥ Śikharakūṭa Caitya, with Dharmadhātu Maṇḍala (front), view from NE; photo by Yogesh Budathoki; 2021-08-02</p>
",,0,,2a27a576-9323-11e9-84e4-0242ac120006
cc38cd85-3f4e-40b7-96c1-a38e94b9017b,None,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,/files/uploadedfiles/LAL2500_P_20210626_10.jpg,"<p>Nārāyaṇa Mandira, view from S; photo by Yogesh Budathoki; 2021-06-26</p>
",,0,,2a27a576-9323-11e9-84e4-0242ac120006
a97dfd49-fb2c-4b2c-80bf-881bfde93a5c,None,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,/files/uploadedfiles/LAL2500_P_20210626_11.jpg,"<p>Nārāyaṇa Mandira, view from SW; photo by Yogesh Budathoki; 2021-06-26</p>
",,0,,2a27a576-9323-11e9-84e4-0242ac120006
e4abf773-796d-4aa3-9716-99596fc28453,None,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,/files/uploadedfiles/LAL2500_P_20210626_02.jpg,"<p>Nārāyaṇa Mandira, front fa&ccedil;ade, view from W; photo by Yogesh Budathoki; 2021-06-26</p>
",,0,,2a27a576-9323-11e9-84e4-0242ac120006
72af3880-e752-4fa0-9053-b35c4beb6414,None,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,/files/uploadedfiles/LAL2500_P_20210626_03.jpg,"<p>Nārāyaṇa Mandira, lower view with entrance, view from W; photo by Yogesh Budathoki; 2021-06-26</p>
",,0,,2a27a576-9323-11e9-84e4-0242ac120006
7d820ced-c91a-47e6-9add-56e461c490ef,None,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,/files/uploadedfiles/LAL2500_P_20210626_05.jpg,"<p>Nārāyaṇa Mandira, <em>toraṇa </em>with struts, view from W; photo by Yogesh Budathoki; 2021-06-26</p>
",,0,,2a27a576-9323-11e9-84e4-0242ac120006
1485ee06-acd0-4ade-9603-1aa95225a8a4,None,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,/files/uploadedfiles/LAL2500_P_20210626_07.jpg,"<p>Nārāyaṇa Mandira, view from N; photo by Yogesh Budathoki; 2021-06-26</p>
",,0,,2a27a576-9323-11e9-84e4-0242ac120006
23d0d035-50d6-435f-af80-aa4e226b2acd,None,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,/files/uploadedfiles/LAL2500_P_20210626_06.jpg,"<p>Nārāyaṇa Mandira, view from NW; photo by Yogesh Budathoki; 2021-06-26</p>
",,0,,2a27a576-9323-11e9-84e4-0242ac120006
94fab17c-484d-4bf8-a159-004f0a5c57f6,None,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,/files/uploadedfiles/LAL2500_P_20210626_08.jpg,"<p>Nārāyaṇa Mandira, view from NE; photo by Yogesh Budathoki; 2021-06-26</p>
",,0,,2a27a576-9323-11e9-84e4-0242ac120006
1f14a3f8-75cb-4262-af69-db77e2c0f3c1,None,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,/files/uploadedfiles/LAL2500_P_20210626_09.jpg,"<p>Nārāyaṇa Mandira, view from SE; photo by Yogesh Budathoki; 2021-06-26</p>
",,0,,2a27a576-9323-11e9-84e4-0242ac120006
ca737723-bcc7-4bc8-bd80-420fc1c572ae,None,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,/files/uploadedfiles/LAL2500_P_20210626_04.jpg,"<p>Nārāyaṇa Mandira, pinnacle with <em>patāḥs</em>, view from W; photo by Yogesh Budathoki; 2021-06-26</p>
",,0,,2a27a576-9323-11e9-84e4-0242ac120006
98746d53-d438-42d1-bbd8-d9bccaec0d43,None,01de2008-1b9b-41d9-821a-b1eb6693db80,/files/uploadedfiles/LAL4128_P_20201220_04.jpg,"<p>Lvahãlã Phalcā, view from N; photo by Yogesh Budathoki; 2020-12-20</p>
",,0,,2a27a576-9323-11e9-84e4-0242ac120006
231ef296-12f2-4f7b-82b2-0fd382339dd7,None,01de2008-1b9b-41d9-821a-b1eb6693db80,/files/uploadedfiles/LAL4128_P_20201220_08.jpg,"<p>Lvahãlã Phalcā, centre column with capital, view from E; photo by Yogesh Budathoki; 2020-12-20</p>
",,0,,2a27a576-9323-11e9-84e4-0242ac120006
f8b10ccf-2384-485b-9960-3c3756411e60,None,01de2008-1b9b-41d9-821a-b1eb6693db80,/files/uploadedfiles/LAL4128_P_20201220_05.jpg,"<p>Lvahãlã Phalcā, view from NE; photo by Yogesh Budathoki; 2020-12-20</p>
",,0,,2a27a576-9323-11e9-84e4-0242ac120006
