tileid,parenttile_id,resourceinstance_id,Eventreferenceimagefile,Eventreferenceimagecaption,Eventreferenceimagedescription,sortorder,provisionaledits,nodegroup_id
b5aca25b-8a19-4aa5-a14e-e1b41b025ff0,02ef1d87-aa18-49a2-b060-79f462d2de54,01610bbc-5297-47cf-9164-9fa4f72a15a8,/files/uploadedfiles/KIR0013_I_001_20210802.jpg,"<p>Mātakhyaḥ Śikharakūṭa Caitya, stone inscription at the Tulasī Devala from NS 900, view from W; photo by Yogesh Budathoki; 2021-08-02</p>
",,0,,1151dc6e-c330-11e9-9bd7-0242ac140003
6a85e17b-59bd-49b9-8515-7cc6ae2b4b23,6909af1f-0da4-46c0-9fad-035f2ac7be48,01610bbc-5297-47cf-9164-9fa4f72a15a8,/files/uploadedfiles/KIR0013_I_003_20210802.jpg,"<p>Mātakhyaḥ Śikharakūṭa Caitya, inscription inscribed on the base of Śivaliṅga from VS 2033, view from N; photo by Yogesh Budathoki; 2021-08-02</p>
",,0,,1151dc6e-c330-11e9-9bd7-0242ac140003
4d978f54-ba5e-45c9-b0fc-64482550f610,9a607613-e204-4115-b9e5-f4489af7dbcc,01610bbc-5297-47cf-9164-9fa4f72a15a8,/files/uploadedfiles/KIR0013_I_002_20210802.jpg,"<p>Mātakhyaḥ Śikharakūṭa Caitya, inscription inscribed on the Dharmadhātu Maṇḍala from NS 1063, view from E; photo by Yogesh Budathoki; 2021-08-02</p>
",,0,,1151dc6e-c330-11e9-9bd7-0242ac140003
a3889c88-c170-43d4-9a10-7930bc8d4d98,fef816bd-2232-4281-9581-63a74782993e,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,/files/uploadedfiles/LAL2500_I_002_20210626.jpg,"<p>Nārāyaṇa Mandira, inscription inscribed on a <em>patāḥ </em>from VS 2077, view from W; photo by Yogesh Budathoki; 2021-06-26</p>
",,0,,1151dc6e-c330-11e9-9bd7-0242ac140003
9570735f-f53f-4d3f-8123-72ac9922cc49,1ce3c8d0-8428-4565-a60f-0ac95d253494,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,/files/uploadedfiles/LAL2500_I_001_20210626_003.jpg,"<p>Nārāyaṇa Mandira, inscription inscribed on the bell from VS 2077, pt. 3, view from NE; photo by Yogesh Budathoki; 2021-06-26</p>
",,0,,1151dc6e-c330-11e9-9bd7-0242ac140003
fa1f12d5-540a-4bed-9217-9da8f2887279,1ce3c8d0-8428-4565-a60f-0ac95d253494,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,/files/uploadedfiles/LAL2500_I_001_20210626_001.jpg,"<p>Nārāyaṇa Mandira, inscription inscribed on the bell from VS 2077, pt. 1, view from W; photo by Yogesh Budathoki; 2021-06-26</p>
",,0,,1151dc6e-c330-11e9-9bd7-0242ac140003
331ee062-8a71-4098-bb28-8cf8a4041a7a,1ce3c8d0-8428-4565-a60f-0ac95d253494,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,/files/uploadedfiles/LAL2500_I_001_20210626_002.jpg,"<p>Nārāyaṇa Mandira, inscription inscribed on the bell from VS 2077, pt. 2, view from SE; photo by Yogesh Budathoki; 2021-06-26</p>
",,0,,1151dc6e-c330-11e9-9bd7-0242ac140003
93482ce6-a19a-4811-84d1-15cf470de48c,36b1aa95-c171-4274-9459-c965b3d6a531,01de2008-1b9b-41d9-821a-b1eb6693db80,/files/uploadedfiles/LAL4128_I_20201220_01.jpg,"<p>Lvahãlã Phalcā, stone inscription from NS 915, view from E; photo by Yogesh Budathoki; 2020-12-20</p>
",,0,,1151dc6e-c330-11e9-9bd7-0242ac140003
be701ba8-3624-461e-9d95-e959a1faa4d9,03e2d405-b102-4d81-b909-76ae7f28f442,01de2008-1b9b-41d9-821a-b1eb6693db80,/files/uploadedfiles/LAL4128-001_I_20201220_01.jpg,"<p>Lvahãlã Phalcā, copper inscription attached to the oil lamp balustrade of the Caitya from VS 2064, view from SE; photo by Yogesh Budathoki; 2020-12-20</p>
",,0,,1151dc6e-c330-11e9-9bd7-0242ac140003
bcb0e5e3-d4b9-4c9d-9240-b597a29f1740,c5f02bfa-a22d-4d87-aea6-e8c906f5f6d4,01de2008-1b9b-41d9-821a-b1eb6693db80,/files/uploadedfiles/LAL4128-001_I_20201220_02.jpg,"<p>Lvahãlã Phalcā, copper inscription nailed on the ilā̃ of the caitya from VS 2065, view from W; photo by Yogesh Budathoki; 2020-12-20</p>
",,0,,1151dc6e-c330-11e9-9bd7-0242ac140003
4533e851-7767-48f8-8594-581c89b9b36b,8387f0f7-f636-48da-b11c-ecd86e285344,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,/files/uploadedfiles/KAT0820_I_005_20210807.jpg,"<p>Tukaṃ Bāhāḥ Caitya, marble inscription attached on the south-western side of the Caitya from VS 2069, view from SW; photo by Yogesh Budathoki; 2021-08-07</p>
",,0,,1151dc6e-c330-11e9-9bd7-0242ac140003
1fcd5a6e-7a14-4afd-90b3-b4f4992ccc6e,5ffaae2b-92c6-42f6-ace9-4fb64eaaaf08,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,/files/uploadedfiles/KAT0820_I_002_20210807.jpg,"<p>Tukaṃ Bāhāḥ Caitya, inscription&nbsp;on the Pañcāvalīyukta Caitya from NS 988, view from W; photo by Yogesh Budathoki; 2021-08-07</p>
",,0,,1151dc6e-c330-11e9-9bd7-0242ac140003
