tileid,parenttile_id,resourceinstance_id,objectimagedescription,objectimagecaption,objectimage,sortorder,provisionaledits,nodegroup_id
9ca30a5f-3436-415a-86a6-3e0571df5335,81835800-5152-49d9-a458-cd832c07f743,00fd72ab-5246-418e-b001-825a2f227a57,,"<p>Pakāḥ Phalcā, <em>jaḥdhuṃhiti</em> with water spout, view from E; photo by Yogesh Budathoki; 2021-08-21</p>
",/files/uploadedfiles/LAL4318-002_P_20210821_02.jpg,0,,ac471808-b1d6-11e9-bc47-0242ac140004
2f80b37f-fe73-46d4-91c9-18eafd326764,81835800-5152-49d9-a458-cd832c07f743,00fd72ab-5246-418e-b001-825a2f227a57,,"<p>Pakāḥ Phalcā, close view of water spout, view from SE; photo by Yogesh Budathoki; 2021-08-21</p>
",/files/uploadedfiles/LAL4318-002_P_20210821_04.jpg,0,,ac471808-b1d6-11e9-bc47-0242ac140004
887e2493-cd64-4f34-a5cb-04bc57065be6,81835800-5152-49d9-a458-cd832c07f743,00fd72ab-5246-418e-b001-825a2f227a57,,"<p>Pakāḥ Phalcā, close view of <em>jaḥdhuṃhiti</em>, view from E; photo by Yogesh Budathoki; 2021-08-21</p>
",/files/uploadedfiles/LAL4318-002_P_20210821_03.jpg,0,,ac471808-b1d6-11e9-bc47-0242ac140004
41f02d1e-b7d6-4e71-8461-dcaadbf1f6d4,cd7f6ea7-7b61-419a-aee3-3053192c4f05,01610bbc-5297-47cf-9164-9fa4f72a15a8,,"<p>Mātakhyaḥ Śikharakūṭa Caitya, statue of guardian lion (A) at the southern side of the staircase of the Caitya, view from SE; photo by Yogesh Budathoki; 2021-08-02</p>
",/files/uploadedfiles/KIR0013-005_P_20210802_02.jpg,0,,ac471808-b1d6-11e9-bc47-0242ac140004
2642ad41-0ebf-4d7b-9d97-9a8aa84b5160,93740ee7-335e-47ca-bb41-2a4b4644ca3e,01610bbc-5297-47cf-9164-9fa4f72a15a8,,"<p>Mātakhyaḥ Śikharakūṭa Caitya, statue of guardian lion&nbsp;(B) at the northern side of the staircase of the Caitya, view from NE; photo by Yogesh Budathoki; 2021-08-02</p>
",/files/uploadedfiles/KIR0013-006_P_20210802_02.jpg,0,,ac471808-b1d6-11e9-bc47-0242ac140004
2e1090f9-1f73-4601-bd4f-e4481b378664,90e8695c-c389-4409-91ef-08ce86699e50,01610bbc-5297-47cf-9164-9fa4f72a15a8,,"<p>Mātakhyaḥ Śikharakūṭa Caitya, Tulasī Devala on northeastern part of the courtyard, view from W; photo by Yogesh Budathoki; 2021-08-02</p>
",/files/uploadedfiles/KIR0013-010_P_20210802_03.jpg,0,,ac471808-b1d6-11e9-bc47-0242ac140004
881648d3-94ca-40df-8deb-0b3a57a051f4,90e8695c-c389-4409-91ef-08ce86699e50,01610bbc-5297-47cf-9164-9fa4f72a15a8,,"<p>Mātakhyaḥ Śikharakūṭa Caitya, statue of Garuḍa&nbsp;above the Tulasī Devala,&nbsp;view from W; photo by Yogesh Budathoki; 2021-08-02</p>
",/files/uploadedfiles/KIR0013-010_P_20210802_02.jpg,0,,ac471808-b1d6-11e9-bc47-0242ac140004
8ff9fd14-6fd8-40a2-aac1-d8e0f6931425,abfb105b-3c96-4ea3-89be-a761e7e5fdc6,01610bbc-5297-47cf-9164-9fa4f72a15a8,,"<p>Mātakhyaḥ Śikharakūṭa Caitya, Śivaliṅga (B) on the northeastern part of the courtyard, view from, E; photo by Yogesh Budathoki; 2021-08-02</p>
",/files/uploadedfiles/KIR0013-011_P_20210802_02.jpg,0,,ac471808-b1d6-11e9-bc47-0242ac140004
46111d2a-376c-4434-af30-38066dfc12a0,e137e258-86c5-41af-9657-976db4d2654e,01610bbc-5297-47cf-9164-9fa4f72a15a8,,"<p>Mātakhyaḥ Śikharakūṭa Caitya, Aṣṭakoṇoparivṛtākāra Caitya on the eastern part of the courtyard, view from W; photo by Yogesh Budathoki; 2021-08-02</p>
",/files/uploadedfiles/KIR0013-009_P_20210802_02.jpg,0,,ac471808-b1d6-11e9-bc47-0242ac140004
4890c675-44c3-41e9-9c01-e87fd38da1a7,5746b59b-27a8-44fa-a024-ef59863e3eee,01610bbc-5297-47cf-9164-9fa4f72a15a8,,"<p>Mātakhyaḥ Śikharakūṭa Caitya, Śivaliṅga (A) with Nandī&nbsp;on the eastern part of the courtyard, view from NE; photo by Yogesh Budathoki; 2021-08-02</p>
",/files/uploadedfiles/KIR0013-008_P_20210802_02.jpg,0,,ac471808-b1d6-11e9-bc47-0242ac140004
